,lga_id,lga_name,postal_town,postal_postcode,address_postcode
453,490,Moira (S),STRATHMERTON,3641,3641
454,319,Horsham (RC),LAHARUM,3401,3401
455,667,Towong (S),WALWA,3709,3709
456,590,Port Phillip (C),MIDDLE PARK,3206,3206
457,745,Yarra Ranges (S),SEVILLE,3139,3139
458,433,Maribyrnong (C),YARRAVILLE,3013,3013
459,525,Moreland (C),MORELAND,3058,3058
460,83,Baw Baw (S),TANJIL SOUTH,3825,3825
461,26,Ararat (RC),POMONAL,3381,3381
462,91,Bayside (C),BRIGHTON,3186,3186
463,381,Latrobe (C),GLENGARRY,3854,3854
464,231,Glen Eira (C),CARNEGIE,3163,3163
465,145,Cardinia (S),LANG LANG,3984,3984
466,441,Maroondah (C),CROYDON,3136,3136
467,506,Moonee Valley (C),MOONEE PONDS,3039,3039
468,698,Whitehorse (C),MITCHAM,3132,3132
469,617,South Gippsland (S),LOCH,3945,3945
470,478,Mildura (RC),MILDURA,3500,3500
471,698,Whitehorse (C),BLACKBURN,3130,3130
472,211,East Gippsland (S),Newmerella,3888,3886
473,590,Port Phillip (C),PORT MELBOURNE,3207,3207
474,111,Boroondara (C),HAWTHORN EAST,3123,3123
475,343,Kingston (C),MENTONE,3194,3194
476,735,Yarra (C),CARLTON NORTH,3054,3054
477,745,Yarra Ranges (S),COLDSTREAM,3770,3770
478,571,Nillumbik (S),RESEARCH,3095,3095
479,161,Casey (C),PEARCEDALE,3912,3912
480,211,East Gippsland (S),Lindenow South,3875,3875
481,83,Baw Baw (S),THORPDALE,3835,3835
482,118,Brimbank (C),ST ALBANS,3021,3021
483,617,South Gippsland (S),LEONGATHA,3953,3953
484,298,Hindmarsh (S),JEPARIT,3423,3423
485,635,Stonnington (C),TOORAK,3142,3142
486,534,Mornington Peninsula (S),BAXTER,3911,3911
487,617,South Gippsland (S),Fish Creek,3959,3959
488,145,Cardinia (S),BEACONSFIELD,3807,3807
489,211,East Gippsland (S),METUNG,3904,3904
490,74,Bass Coast (S),Newhaven,3925,3925
491,581,Northern Grampians (S),HALLS GAP,3381,3381
492,283,Greater Shepparton (C),TALLYGAROOPNA,3634,3634
493,231,Glen Eira (C),BENTLEIGH,3204,3204
494,617,South Gippsland (S),KORUMBURRA,3950,3950
495,534,Mornington Peninsula (S),CRIB POINT,3919,3919
496,525,Moreland (C),PASCOE VALE,3044,3044
497,562,Murrindindi (S),FLOWERDALE,3717,3717
498,275,Greater Geelong (C),OCEAN GROVE,3226,3226
499,763,Yarriambiack (S),BEULAH,3395,3395
500,735,Yarra (C),FITZROY NORTH,3068,3068
501,118,Brimbank (C),SUNSHINE,3020,3020
502,534,Mornington Peninsula (S),TYABB,3913,3913
503,189,Darebin (C),THORNBURY,3071,3071
504,335,Indigo (S),HUON,3695,3695
505,735,Yarra (C),CLIFTON HILL,3068,3068
506,111,Boroondara (C),Kew East,3102,3102
507,478,Mildura (RC),NICHOLS POINT,3501,3501
508,478,Mildura (RC),IRYMPLE,3498,3498
509,525,Moreland (C),BRUNSWICK EAST,3057,3057
510,211,East Gippsland (S),EAGLE POINT,3878,3878
511,745,Yarra Ranges (S),Yarra Junction,3797,3797
512,745,Yarra Ranges (S),Sassafras,3787,3787
513,745,Yarra Ranges (S),Ferny Creek,3786,3786
514,562,Murrindindi (S),TOOLANGI,3777,3777
515,421,Manningham (C),WONGA PARK,3115,3115
516,562,Murrindindi (S),KINGLAKE WEST,3757,3757
517,939,Unincorporated Vic,CRIB POINT,3919,3921
