LGA,Median House Price - 2019
MORELAND,950000
PATTERSON GARDENS *no lga*,920000
KINGSTON,923000
EAST GIPPSLAND,339000
CASEY,670000
SOUTHERN GRAMPIANS,165000
PETERBOROUGH *no lga*,419000
PIONEER BAY *no lga*,310000
PLENTY *no lga*,1301000
WYNDHAM,640500
QUEENSCLIFFE,827500
SOUTH GIPPSLAND,443000
ALPINE,535000
PORT ALBERT *no lga*,250000
MOYNE,630000
PORT FRANKLIN *no lga*,302500
PORT PHILLIP,1375000
PORT WELSHPOOL *no lga*,315000
GREATER GEELONG,621500
GLENELG,267500
GLENELG,276000
PORTSEA *no lga*,1950000
PRAHRAN *no lga*,1510000
DAREBIN,936500
YARRA,2035000
LODDON,120000
GREATER BENDIGO,395000
QUEENSCLIFFE,950000
HINDMARSH,75000
BAW BAW,156000
RAYMOND ISLAND *no lga*,300000
MILDURA,217500
BALLARAT,357000
NILLUMBIK,930000
DAREBIN,750000
RHYLL *no lga*,565000
YARRA,1255000
MACEDON RANGES,695000
MAROONDAH,813500
MAROONDAH,809000
MAROONDAH,871000
RIPPLESIDE *no lga*,810000
SWAN HILL,225000
CAMPASPE,255000
MELTON,497000
MACEDON RANGES,580500
BANYULE,1042500
MORNINGTON PENINSULA,545000
ROSEBUD SOUTH *no lga*,682500
WELLINGTON,247000
KNOX,820500
HUME,540000
CAMPASPE,197500
INDIGO,280000
MORNINGTON PENINSULA,690000
SAFETY BEACH *no lga*,785000
SAILORS GULLY *no lga*,280000
WELLINGTON,325000
BASS COAST,554500
SANCTUARY LAKES *no lga*,620000
SANDHURST *no lga*,815000
BAYSIDE,1650000
SANDY POINT *no lga*,410000
YARRA RANGES,805000
KNOX,767000
BULOKE,100000
HOBSONS BAY,626500
FRANKSTON,655000
HOBSONS BAY,1020000
WELLINGTON,265000
BALLARAT,315000
SEDDON *no lga*,960000
YARRA RANGES,601500
YARRA RANGES,620000
SEVILLE EAST *no lga*,580000
MITCHELL,300000
GREATER SHEPPARTON,282000
GREATER SHEPPARTON,393000
SHOREHAM *no lga*,1500000
SILVERLEAVES *no lga*,618500
SKENES CREEK *no lga*,667500
CORANGAMITE,200000
FRANKSTON,600000
SMITHS BEACH *no lga*,624500
GOLDEN PLAINS,340000
BALLARAT,480000
MORNINGTON PENINSULA,950000
MORNINGTON PENINSULA,600000
MORNINGTON PENINSULA,1465000
SOUTH DUDLEY *no lga*,339000
GREATER GEELONG,702500
SOUTH KINGSVILLE *no lga*,859000
PORT PHILLIP,1355000
WHITTLESEA,625500
MELBOURNE,1767500
HOBSONS BAY,960000
SPRING GULLY *no lga*,386500
GREATER DANDENONG,743000
GREATER DANDENONG,678000
BRIMBANK,590000
ST ALBANS PARK *no lga*,422000
ST ANDREWS BEACH *no lga*,930000
NORTHERN GRAMPIANS,175000
BANYULE,905000
PORT PHILLIP,1600000
GLEN EIRA,1560000
ST KILDA WEST *no lga*,2078500
GREATER GEELONG,562500
CAMPASPE,174000
NORTHERN GRAMPIANS,189000
WELLINGTON,316500
GREATER BENDIGO,453500
GREATER BENDIGO,476500
MOIRA,195000
MOONEE VALLEY,1310000
STRATHMORE HEIGHTS *no lga*,800000
STRATHTULLOH *no lga*,515000
STUDFIELD *no lga*,811000
HUME,535000
SUNDERLAND BAY *no lga*,412000
SUNNYCLIFFS *no lga*,239000
BASS COAST,460000
BRIMBANK,720000
BRIMBANK,630000
BRIMBANK,635000
SURF BEACH *no lga*,510000
WHITEHORSE,1886500
SWAN HILL,285000
BRIMBANK,599500
SYNDAL *no lga*,1524500
TOWONG,251500
WYNDHAM,555000
GREATER SHEPPARTON,276500
ALPINE,460000
TAWONGA SOUTH *no lga*,400000
MELTON,702500
BRIMBANK,748500
YARRA RANGES,662500
MANNINGHAM,1276500
MANNINGHAM,1080000
CORANGAMITE,190000
KNOX,695000
THE HONEYSUCKLES *no lga*,336000
YARRA RANGES,755000
WHITTLESEA,592000
THOMSON (GREATER GEELONG) *no lga*,400500
DAREBIN,1135000
THORNHILL PARK *no lga*,535000
CORANGAMITE,260000
CAMPASPE,234500
